"","ID","utm_n","place","utm_e"
"301",15,5424119.40467883,"Hinsingen",352962.094150253
"302",16,5421664.05992579,"Altweiler (Altwiller)",352139.351121064
"303",17,5429211.61838325,"Örmingen (Oermingen)",363141.498328134
"304",18,5390104.47202838,"Völlerdingen (Voellerdingen)",392891.249355793
"305",19,5423702.77059711,"Domfessel",364683.202374336
"306",20,5421281.81015208,"Rimsdorf",362716.698774077
"307",21,5420531.8734147,"Saarwerden (Sarrewerden)",359651.258100838
"308",22,5422459.79153589,"Saarbuckenheim (Sarre-Union)",359901.378100787
"309",23,5422459.79153589,"Saarbuckenheim (Sarre-Union)",359901.378100787
"310",24,5425915.55571588,"Keskastel",356805.199395851
"311",25,5423194.98209716,"Schopperten",357450.903183988
"312",26,5421982.46186667,"Harskirchen",356374.831793121
"313",27,5422852.05624964,"Bissert",355353.170974707
"314",28,5426827.14228867,"Dehlingen",367631.990109276
"315",29,5425752.28156856,"Bütten (Butten)",369770.068627355
"316",30,5423947.54479883,"Ratzweiler (Ratzwiller)",371139.912295703
"317",31,5423779.01204577,"Lorenzen (Lorentzen)",366405.700692454
"318",32,5422438.0446923,"Diemeringen",367227.038988961
"319",33,5398248.3765615,"Mackweiler (Mackwiller)",380776.15634388
"320",34,5420740.27339382,"Waldhambach",369270.818857842
"321",35,5421305.0102987,"Rosteig",378303.571254842
"322",36,5419550.90305374,"Wingen (Wingen-Sur-Moder)",381410.245452563
"323",37,5421049.55763671,"Reipertsweiler (Reipertswiller)",387482.588743578
"324",46,5414792.77972914,"Mitschdorf",362999.836090402
"325",77,5419287.94108979,"Zollingen",359051.705563588
"326",78,5418190.52336006,"Pisdorf (Bischtroff-sur-Sarre)",358553.885654518
"327",79,5418217.13606957,"Burbach",361657.06878698
"328",80,5419090.29987748,"Tal bei Drulingen (Thal-Drulingen)",364093.720557857
"329",81,5417413.137136,"Berg",364639.468938525
"330",82,5415942.31139432,"Güngweiler (Gungwiller)",364934.562542934
"331",83,5414787.22198662,"Eyweiler (Eywiller)",362999.699537875
"332",84,5413558.67063933,"Eschweiler (Eschwiller)",361854.033129342
"333",85,5412956.38197966,"Weyer",365012.678251284
"334",86,5411151.68827363,"Bärendorf (Baerendorf)",359453.059399726
"335",87,5415771.44899364,"Wolfskirchen",358945.10520828
"336",88,5415771.44899364,"Wolfskirchen",358945.10520828
"337",89,5415804.0513801,"Diedendorf",357010.650064144
"338",90,5419178.01337904,"Puberg",376514.704256147
"339",91,5418536.00754492,"Hinsburg (Hinsbourg)",374587.796296805
"340",92,5418603.34008021,"Frohmühl (Frohmuhl)",373969.837713887
"341",93,5419901.46806712,"Weislingen",371911.78521983
"342",94,5418352.62339816,"Tieffenbach",371750.047978872
"343",95,5416705.95640552,"Strut (Struth)",372070.021857441
"344",96,5414351.56519312,"Petersbach",373042.397129198
"345",97,5413101.1096336,"Lützelstein (La Petite-Pierre)",376831.283697007
"346",98,5418409.70603464,"Adamsweiler (Adamswiller)",368350.200387987
"347",99,5416967.36085205,"Dürstel (Durstel)",367873.8861567
"348",100,5416398.83050642,"Bettweiler (Bettwiller)",366575.391493394
"349",101,5415682.70007016,"Aßweiler (Asswiller)",369482.882169226
"350",102,5414161.79956546,"Drulingen",367245.322868003
"351",103,5413975.1483556,"Ottweiler (Ottwiller)",370261.772588145
"352",104,5413100.14021761,"Lohr",371162.412604783
"353",105,5411573.52288986,"Sieweiler (Siewiller)",368429.463506793
"354",106,5417955.40618486,"Berg, Rexingen",366364.087046689
"355",107,5419851.32986727,"Lichtenberg",388783.328143805
"356",108,5418693.76065368,"Wimmenau",384198.015812423
"357",109,5417608.74774427,"Zittersheim",378745.524825128
"358",110,5414893.03498462,"Erkartsweiler (Erckartswiller)",379720.003417554
"359",111,5415053.15245734,"Sparsbach",383811.327057805
"360",112,5414351.70616868,"Weinburg (Weinbourg)",385627.732678376
"361",113,5414475.70192486,"Ingweiler (Ingwiller)",388565.938721624
"362",114,5412934.78609932,"Menchhofen (Menchhoffen)",389611.540770512
"363",115,5411430.69442975,"Uttweiler (Uttwiller)",388971.884589417
"364",116,5411829.81075683,"Niedersulzbach (Niedersoultzbach)",387477.554815412
"365",117,5412132.70802939,"Obersulzbach (Obersoultzbach)",386304.351853961
"366",118,5412326.0730593,"Weitersweiler (Weiterswiller)",383613.604730582
"367",122,5416589.84668453,"Bischholz",392981.263152089
"368",123,5415377.02570952,"Mühlhausen",393893.039112546
"369",134,5412270.98897606,"Zutzendorf",393615.261469617
"370",135,5414399.69534831,"Schillersdorf",391861.665657817
"371",136,5411216.24976876,"Obermodern",392831.86357174
"372",160,5411053.65784215,"Hirschland",361551.186089832
"373",161,5409624.17762135,"Kirberg (Kirrberg)",357755.54633988
"374",162,5408213.49286059,"Rauweiler",361174.442512514
"375",163,5406602.8334987,"Goerlingen",359179.850772327
"376",164,5408031.82659233,"Etschburg (Eschbourg)",374894.214365494
"377",165,5408799.08928,"Graufthal",373810.53823151
