gid,center:Lon,center:Lat
589325,2422200.794,6959913.361
589251,2422200.794,5894598.553
589301,2422200.794,6599215.649
589276,2422200.794,6239588.111
589351,2422200.794,7369961.122
589326,2422200.794,6975298.17
589252,2422200.794,5908137.398
589302,2422200.794,6613930.008
589277,2422200.794,6253680.98
589352,2422200.794,7386168.165
589327,2422200.794,6990712.525
589253,2422200.794,5921697.319
589303,2422200.794,6628670.654
589278,2422200.794,6267797.365
589353,2422200.794,7402409.087
589328,2422200.794,7006156.815
589254,2422200.794,5935278.334
589304,2422200.794,6643437.944
589279,2422200.794,6281937.232
589354,2422200.794,7418683.903
589329,2422200.794,7021631.102
589255,2422200.794,5948880.399
589305,2422200.794,6658231.921
589280,2422200.794,6296100.913
589355,2422200.794,7434993.046
589330,2422200.794,7037135.38
589256,2422200.794,5962503.825
589306,2422200.794,6673052.565
589281,2422200.794,6310288.437
589356,2422200.794,7451336.602
589331,2422200.794,7052670.042
589257,2422200.794,5976148.628
589307,2422200.794,6687900.238
589282,2422200.794,6324499.772
589357,2422200.794,7467714.587
589332,2422200.794,7068235.152
589258,2422200.794,5989814.769
589308,2422200.794,6702774.984
589283,2422200.794,6338735.253
589358,2422200.794,7484127.44
589333,2422200.794,7083830.705
589259,2422200.794,6003502.559
589309,2422200.794,6717676.785
589284,2422200.794,6352994.91
589359,2422200.794,7500575.249
589334,2422200.794,7099457.102
589260,2422200.794,6017212.016
589310,2422200.794,6732606.006
589285,2422200.794,6367278.713
589360,2422200.794,7517058.035
589335,2422200.794,7115114.407
589261,2422200.794,6030943.101
589311,2422200.794,6747562.694
589286,2422200.794,6381586.999
589361,2422200.794,7533576.241
589336,2422200.794,7130802.619
589112,2403647.563,5707205.157
589162,2403647.563,6395919.801
589137,2403647.563,6044696.128
589212,2403647.563,7146522.141
589187,2403647.563,6762546.833
589113,2403647.563,5720459.957
589163,2403647.563,6410277.089
589138,2403647.563,6058471.118
589213,2403647.563,7162273.041
589188,2403647.563,6777558.791
589114,2403647.563,5733734.494
589164,2403647.563,6424659.204
589139,2403647.563,6072268.031
589214,2403647.563,7178055.321
589189,2403647.563,6792598.617
589115,2403647.563,5747028.722
589165,2403647.563,6439066.18
589140,2403647.563,6086087.186
589215,2403647.563,7193869.388
589190,2403647.563,6807666.296
589116,2403647.563,5760342.938
589166,2403647.563,6453497.989
589141,2403647.563,6099928.603
589216,2403647.563,7209715.313
589191,2403647.563,6822762.201
589117,2403647.563,5773677.154
589167,2403647.563,6467954.976
589142,2403647.563,6113792.244
589217,2403647.563,7225593.1
589192,2403647.563,6837886.384
589118,2403647.563,5787031.324
589168,2403647.563,6482437.175
589143,2403647.563,6127678.43
589218,2403647.563,7241503.161
589193,2403647.563,6853038.831
589119,2403647.563,5800405.747
589169,2403647.563,6496944.561
589144,2403647.563,6141587.184
589219,2403647.563,7257445.569
589194,2403647.563,6868219.919
589120,2403647.563,5813800.436
589170,2403647.563,6511477.481
589145,2403647.563,6155518.469
589220,2403647.563,7273420.332
589195,2403647.563,6883429.701
589121,2403647.563,5827215.347
589171,2403647.563,6526035.972
589146,2403647.563,6169472.607
589221,2403647.563,7289427.865
589196,2403647.563,6898668.167
589122,2403647.563,5840650.781
589172,2403647.563,6540620.009
589147,2403647.563,6183449.623
589222,2403647.563,7305468.247
589197,2403647.563,6913935.696
589123,2403647.563,5854106.752
589173,2403647.563,6555229.944
589148,2403647.563,6197449.482
589223,2403647.563,7321541.485
589198,2403647.563,6929232.346
589124,2403647.563,5867583.216
589174,2403647.563,6569865.814
589149,2403647.563,6211472.509
589224,2403647.563,7337648.002
589199,2403647.563,6944558.105
589125,2403647.563,5881080.478
589175,2403647.563,6584527.598
589150,2403647.563,6225518.73
589225,2403647.563,7353787.878
589200,2403647.563,6959913.361
589126,2403647.563,5894598.553
589176,2403647.563,6599215.649
589151,2403647.563,6239588.111
589226,2403647.563,7369961.122
589201,2403647.563,6975298.17
589127,2403647.563,5908137.398
589177,2403647.563,6613930.008
589152,2403647.563,6253680.98
589227,2403647.563,7386168.165
589202,2403647.563,6990712.525
589128,2403647.563,5921697.319
589178,2403647.563,6628670.654
589153,2403647.563,6267797.365
589228,2403647.563,7402409.087
589203,2403647.563,7006156.815
589129,2403647.563,5935278.334
589179,2403647.563,6643437.944
589154,2403647.563,6281937.232
589229,2403647.563,7418683.903
589204,2403647.563,7021631.102
589130,2403647.563,5948880.399
589180,2403647.563,6658231.921
589155,2403647.563,6296100.913
589230,2403647.563,7434993.046
589205,2403647.563,7037135.38
589131,2403647.563,5962503.825
589181,2403647.563,6673052.565
589156,2403647.563,6310288.437
589231,2403647.563,7451336.602
589206,2403647.563,7052670.042
589132,2403647.563,5976148.628
589182,2403647.563,6687900.238
589157,2403647.563,6324499.772
589232,2403647.563,7467714.587
589207,2403647.563,7068235.152
589133,2403647.563,5989814.769
589183,2403647.563,6702774.984
589158,2403647.563,6338735.253
589233,2403647.563,7484127.44
589208,2403647.563,7083830.705
589134,2403647.563,6003502.559
589184,2403647.563,6717676.785
589159,2403647.563,6352994.91
589234,2403647.563,7500575.249
589209,2403647.563,7099457.102
589135,2403647.563,6017212.016
589185,2403647.563,6732606.006
589160,2403647.563,6367278.713
589235,2403647.563,7517058.035
589210,2403647.563,7115114.407
589136,2403647.563,6030943.101
589186,2403647.563,6747562.694
589161,2403647.563,6381586.999
589236,2403647.563,7533576.241
589211,2403647.563,7130802.619
588987,2385094.279,5707205.157
589037,2385094.279,6395919.801
589012,2385094.279,6044696.128
589087,2385094.279,7146522.141
589062,2385094.279,6762546.833
588988,2385094.279,5720459.957
589038,2385094.279,6410277.089
589013,2385094.279,6058471.118
589088,2385094.279,7162273.041
589063,2385094.279,6777558.791
588989,2385094.279,5733734.494
589039,2385094.279,6424659.204
589014,2385094.279,6072268.031
589089,2385094.279,7178055.321
589064,2385094.279,6792598.617
588990,2385094.279,5747028.722
589040,2385094.279,6439066.18
589015,2385094.279,6086087.186
589090,2385094.279,7193869.388
589065,2385094.279,6807666.296
588991,2385094.279,5760342.938
589041,2385094.279,6453497.989
589016,2385094.279,6099928.603
589091,2385094.279,7209715.313
589066,2385094.279,6822762.201
588992,2385094.279,5773677.154
589042,2385094.279,6467954.976
589017,2385094.279,6113792.244
589092,2385094.279,7225593.1
589067,2385094.279,6837886.384
588993,2385094.279,5787031.324
589043,2385094.279,6482437.175
589018,2385094.279,6127678.43
589093,2385094.279,7241503.161
589068,2385094.279,6853038.831
588994,2385094.279,5800405.747
589044,2385094.279,6496944.561
589019,2385094.279,6141587.184
589094,2385094.279,7257445.569
589069,2385094.279,6868219.919
588995,2385094.279,5813800.436
589045,2385094.279,6511477.481
589020,2385094.279,6155518.469
589095,2385094.279,7273420.332
589070,2385094.279,6883429.701
588996,2385094.279,5827215.347
589046,2385094.279,6526035.972
589021,2385094.279,6169472.607
589096,2385094.279,7289427.865
589071,2385094.279,6898668.167
588997,2385094.279,5840650.781
589047,2385094.279,6540620.009
589022,2385094.279,6183449.623
589097,2385094.279,7305468.247
589072,2385094.279,6913935.696
588998,2385094.279,5854106.752
589048,2385094.279,6555229.944
589023,2385094.279,6197449.482
589098,2385094.279,7321541.485
589073,2385094.279,6929232.346
588999,2385094.279,5867583.216
589049,2385094.279,6569865.814
589024,2385094.279,6211472.509
589099,2385094.279,7337648.002
589074,2385094.279,6944558.105
589000,2385094.279,5881080.478
589050,2385094.279,6584527.598
589025,2385094.279,6225518.73
589100,2385094.279,7353787.878
589075,2385094.279,6959913.361
589001,2385094.279,5894598.553
589051,2385094.279,6599215.649
589026,2385094.279,6239588.111
589101,2385094.279,7369961.122
589076,2385094.279,6975298.17
589002,2385094.279,5908137.398
589052,2385094.279,6613930.008
589027,2385094.279,6253680.98
589102,2385094.279,7386168.165
589077,2385094.279,6990712.525
589003,2385094.279,5921697.319
589053,2385094.279,6628670.654
589028,2385094.279,6267797.365
589103,2385094.279,7402409.087
589078,2385094.279,7006156.815
589004,2385094.279,5935278.334
589054,2385094.279,6643437.944
589029,2385094.279,6281937.232
589104,2385094.279,7418683.903
589079,2385094.279,7021631.102
589005,2385094.279,5948880.399
589055,2385094.279,6658231.921
589030,2385094.279,6296100.913
589105,2385094.279,7434993.046
589080,2385094.279,7037135.38
589006,2385094.279,5962503.825
589056,2385094.279,6673052.565
589031,2385094.279,6310288.437
589106,2385094.279,7451336.602
589081,2385094.279,7052670.042
589007,2385094.279,5976148.628
589057,2385094.279,6687900.238
589032,2385094.279,6324499.772
589107,2385094.279,7467714.587
589082,2385094.279,7068235.152
589008,2385094.279,5989814.769
589058,2385094.279,6702774.984
589033,2385094.279,6338735.253
589108,2385094.279,7484127.44
589083,2385094.279,7083830.705
589009,2385094.279,6003502.559
589059,2385094.279,6717676.785
589034,2385094.279,6352994.91
589109,2385094.279,7500575.249
589084,2385094.279,7099457.102
589010,2385094.279,6017212.016
589060,2385094.279,6732606.006
589035,2385094.279,6367278.713
589110,2385094.279,7517058.035
589085,2385094.279,7115114.407
589011,2385094.279,6030943.101
589061,2385094.279,6747562.694
589036,2385094.279,6381586.999
589111,2385094.279,7533576.241
589086,2385094.279,7130802.619
588862,2366541.049,5707205.157
588912,2366541.049,6395919.801
588887,2366541.049,6044696.128
588962,2366541.049,7146522.141
588937,2366541.049,6762546.833
588863,2366541.049,5720459.957
588913,2366541.049,6410277.089
588888,2366541.049,6058471.118
588963,2366541.049,7162273.041
588938,2366541.049,6777558.791
588864,2366541.049,5733734.494
588914,2366541.049,6424659.204
588889,2366541.049,6072268.031
588964,2366541.049,7178055.321
588939,2366541.049,6792598.617
588865,2366541.049,5747028.722
588915,2366541.049,6439066.18
588890,2366541.049,6086087.186
588965,2366541.049,7193869.388
588940,2366541.049,6807666.296
588866,2366541.049,5760342.938
588916,2366541.049,6453497.989
588891,2366541.049,6099928.603
588966,2366541.049,7209715.313
588941,2366541.049,6822762.201
588867,2366541.049,5773677.154
588917,2366541.049,6467954.976
588892,2366541.049,6113792.244
588967,2366541.049,7225593.1
588942,2366541.049,6837886.384
588868,2366541.049,5787031.324
588918,2366541.049,6482437.175
588893,2366541.049,6127678.43
588968,2366541.049,7241503.161
588943,2366541.049,6853038.831
588869,2366541.049,5800405.747
588919,2366541.049,6496944.561
588894,2366541.049,6141587.184
588969,2366541.049,7257445.569
588944,2366541.049,6868219.919
588870,2366541.049,5813800.436
588920,2366541.049,6511477.481
588895,2366541.049,6155518.469
588970,2366541.049,7273420.332
588945,2366541.049,6883429.701
588871,2366541.049,5827215.347
588921,2366541.049,6526035.972
588896,2366541.049,6169472.607
588971,2366541.049,7289427.865
588946,2366541.049,6898668.167
588872,2366541.049,5840650.781
588922,2366541.049,6540620.009
588897,2366541.049,6183449.623
588972,2366541.049,7305468.247
588947,2366541.049,6913935.696
588873,2366541.049,5854106.752
588923,2366541.049,6555229.944
588898,2366541.049,6197449.482
588973,2366541.049,7321541.485
588948,2366541.049,6929232.346
588874,2366541.049,5867583.216
588924,2366541.049,6569865.814
588899,2366541.049,6211472.509
588974,2366541.049,7337648.002
588949,2366541.049,6944558.105
588875,2366541.049,5881080.478
588925,2366541.049,6584527.598
588900,2366541.049,6225518.73
588975,2366541.049,7353787.878
588950,2366541.049,6959913.361
588876,2366541.049,5894598.553
588926,2366541.049,6599215.649
588901,2366541.049,6239588.111
588976,2366541.049,7369961.122
588951,2366541.049,6975298.17
588877,2366541.049,5908137.398
588927,2366541.049,6613930.008
588902,2366541.049,6253680.98
588977,2366541.049,7386168.165
588952,2366541.049,6990712.525
588878,2366541.049,5921697.319
588928,2366541.049,6628670.654
588903,2366541.049,6267797.365
588978,2366541.049,7402409.087
588953,2366541.049,7006156.815
588879,2366541.049,5935278.334
588929,2366541.049,6643437.944
588904,2366541.049,6281937.232
588979,2366541.049,7418683.903
588954,2366541.049,7021631.102
588880,2366541.049,5948880.399
588930,2366541.049,6658231.921
588905,2366541.049,6296100.913
588980,2366541.049,7434993.046
588955,2366541.049,7037135.38
588881,2366541.049,5962503.825
588931,2366541.049,6673052.565
588906,2366541.049,6310288.437
588981,2366541.049,7451336.602
588956,2366541.049,7052670.042
588882,2366541.049,5976148.628
588932,2366541.049,6687900.238
588907,2366541.049,6324499.772
588982,2366541.049,7467714.587
588957,2366541.049,7068235.152
588883,2366541.049,5989814.769
588933,2366541.049,6702774.984
588908,2366541.049,6338735.253
588983,2366541.049,7484127.44
588958,2366541.049,7083830.705
588884,2366541.049,6003502.559
588934,2366541.049,6717676.785
588909,2366541.049,6352994.91
588984,2366541.049,7500575.249
588959,2366541.049,7099457.102
588885,2366541.049,6017212.016
588935,2366541.049,6732606.006
588910,2366541.049,6367278.713
588985,2366541.049,7517058.035
588960,2366541.049,7115114.407
588886,2366541.049,6030943.101
588936,2366541.049,6747562.694
588911,2366541.049,6381586.999
588986,2366541.049,7533576.241
588961,2366541.049,7130802.619
588737,2347987.818,5707205.157
588787,2347987.818,6395919.801
588762,2347987.818,6044696.128
588837,2347987.818,7146522.141
588812,2347987.818,6762546.833
588738,2347987.818,5720459.957
588788,2347987.818,6410277.089
588763,2347987.818,6058471.118
588838,2347987.818,7162273.041
588813,2347987.818,6777558.791
588739,2347987.818,5733734.494
588789,2347987.818,6424659.204
588764,2347987.818,6072268.031
588839,2347987.818,7178055.321
588814,2347987.818,6792598.617
588740,2347987.818,5747028.722
588790,2347987.818,6439066.18
588765,2347987.818,6086087.186
588840,2347987.818,7193869.388
588815,2347987.818,6807666.296
588741,2347987.818,5760342.938
588791,2347987.818,6453497.989
588766,2347987.818,6099928.603
588841,2347987.818,7209715.313
588816,2347987.818,6822762.201
588742,2347987.818,5773677.154
588792,2347987.818,6467954.976
588767,2347987.818,6113792.244
588842,2347987.818,7225593.1
588817,2347987.818,6837886.384
588743,2347987.818,5787031.324
588793,2347987.818,6482437.175
588768,2347987.818,6127678.43
588843,2347987.818,7241503.161
588818,2347987.818,6853038.831
588744,2347987.818,5800405.747
588794,2347987.818,6496944.561
588769,2347987.818,6141587.184
