"","ID","place","DWA_grid","utm_e","utm_n"
"228",723,"Neuenburg (am Rhein)"," 12x'",392206.865811537,5296623.36242272
"229",724,"Hügelheim"," 12x'",396778.68853717,5298179.8445507
"230",726,"Zunzingen"," 12x'",399096.311712314,5297356.29383736
"231",727,"Niederweiler"," 12x'",398743.79692409,5295694.85326556
"232",728,"Müllheim"," 12x'",397369.249645689,5295893.60119953
"233",729,"Auggen"," 12x'",394556.206768349,5293670.61785923
"234",730,"Lipburg"," 12x'",399380.934019936,5293483.6406659
"235",731,"Mauchen"," 12x'",394647.271684606,5290848.45124079
"236",732,"Feldberg"," 12x'",398168.833705951,5292042.89608028
"237",733,"Obereggenen, Niedereggenen"," 12x'",398400.330105125,5290156.6838223
"238",734,"Schliengen"," 12x'",393294.682420884,5290139.42745031
"239",735,"Steinenstadt"," 12x'",391591.289381845,5291659.67529345
"240",738,"Banzenheim (Bantzenheim)"," 12x'",388774.250567675,5297883.49559115
"241",739,"Britzingen"," 12x'",400635.825807581,5297974.45089868
"242",257,"Marckolsheim"," 12s'",391878.325066051,5335939.85465293
"243",1038,"Mussig"," 12s'",390105.061573184,5342926.18098071
"244",1039,"Baldenheim"," 12s'",391536.917570006,5343724.88900793
"245",1040,"Bösenbiesen (Boesenbiesen)"," 12s'",393341.125501481,5342813.60404119
"246",1041,"Schwobsheim"," 12s'",394167.839008249,5343168.45028282
"247",1042,"Richtolsheim"," 12s'",395643.052015197,5342274.03285647
"248",1043,"Saasenheim"," 12s'",397276.29689375,5343239.47583988
"249",1044,"Schönau (Schoenau)"," 12s'",399520.95186313,5342014.29407212
"250",1045,"Artolsheim"," 12s'",394042.344134618,5340570.171391
"251",1046,"Hessenheim"," 12s'",392377.813101991,5340696.93292608
"252",1047,"Heidolsheim"," 12s'",389678.748809885,5339741.10757526
"253",1049,"Boozheim (Bootzheim)"," 12s'",393757.708086994,5338252.8206176
"254",1050,"Mackenheim"," 12s'",393411.478944098,5337786.73736406
"255",989,"Ebersmünster (Ebersmunster)"," 12r'",390349.098430533,5351967.75085877
"256",990,"Witternheim"," 12r'",397163.862013022,5352102.84616287
"257",991,"Diebolsheim"," 12r'",400733.899616564,5349415.51553381
"258",992,"Bindernheim"," 12r'",396670.171446976,5348766.25099954
"259",993,"Hilsenheim"," 12r'",393757.941750212,5349585.92575057
"260",994,"Müttersholz (Muttersholtz)"," 12r'",391152.022282955,5347061.16826502
"261",995,"Wittisheim"," 12r'",395329.94845189,5346543.68677536
"262",996,"Sundhausen (Sundhouse)"," 12r'",396318.2988754,5345170.28205568
"263",997,"Sundhausen (Sundhouse)"," 12r'",396318.2988754,5345170.28205568
"264",999,"Friesenheim"," 12r'",401416.88752646,5351578.35818574
"265",1131,"Herlisheim (Herrlisheim)"," 14m'",419588.203527234,5397991.9533515
"266",1132,"Offendorf"," 14m'",420091.949239669,5395973.50560477
"267",1133,"Grauelsbaum"," 14m'",425138.020648571,5398581.03706943
"268",1134,"Helmlingen"," 14m'",423903.011218159,5395689.25392679
"269",1135,"Scherzheim"," 14m'",426185.870883364,5396115.68441138
"270",1136,"Muckenschopf am Rhein"," 14m'",425531.731071173,5393891.90020838
"271",1137,"Memprechtshofen"," 14m'",425096.267900071,5392642.50941171
"272",1138,"Freistett"," 14m'",421652.975169179,5391472.10119735
"273",1139,"Gambsheim"," 14m'",417555.105482264,5393777.71276123
"274",1140,"Kilstett"," 14m'",415927.908519606,5391927.3354283
"275",222,"Sufflenheim"," 14l'",423617.684777081,5409056.86140217
"276",223,"Schirrhofen"," 14l'",420649.899160642,5406519.93486986
"277",224,"Schirrhein"," 14l'",419637.379909067,5405971.81956621
"278",226,"Oberhofen (Oberhoffen-Sur-Moder)"," 14l'",416496.785370333,5403954.28440858
"279",227,"Bischweiler"," 14l'",416167.426527336,5402322.59654519
"280",228,"Rohrwiller"," 14l'",419550.551550728,5400900.97744454
"281",230,"Falhünden (Dalhünden)"," 14l'",425671.177517214,5402789.80388343
"282",391,"Rufach (Rouffach)"," 10v'",372863.823928136,5313222.30079307
"283",392,"Osenbach"," 10v'",367114.497420374,5316304.4626235
"284",393,"Westhalten"," 10v'",370061.76019603,5313033.55297123
"285",394,"Winzfelden (Wintzfelden)"," 10v'",365519.214716751,5315028.26020562
"286",395,"Gundolsheim"," 10v'",372580.844705105,5309747.0681468
"287",396,"Schweighausen Kreis Gebweiler (Schweighouse bei Lautenbach)"," 10v'",363865.152021837,5311073.91185442
"288",397,"Bergholzzell, Orschweier (Bergholtzzell, Orschwihr)"," 10v'",368161.74302002,5309938.7475157
"289",398,"Orschweier (Orschwihr)"," 10v'",367980.659783563,5310287.60468323
"290",399,"Sulzmatt (Soultzmatt)"," 10v'",368207.426953668,5314024.21653966
"291",400,"Sulzmatt (Soultzmatt)"," 10v'",368207.426953668,5314024.21653966
"292",401,"Bühl Landkreis Gebweiler (Buhl)"," 10v'",364526.66513868,5309907.39611608
"293",402,"Pfaffenheim"," 10v'",372437.107771159,5316410.80081133
"294",403,"Pfaffenheim"," 10v'",372437.107771159,5316410.80081133
"295",404,"Dessenheim"," 11v'",387180.683845441,5314695.1334012
"296",405,"Bilzheim (Biltzheim)"," 11v'",379546.436147001,5312752.83475529
"297",406,"Oberenzen (Oberentzen)"," 11v'",378929.538564702,5311296.95932826
"298",407,"Niederenzen"," 11v'",379146.037107024,5311859.47857361
"299",408,"Niederhergheim"," 11v'",380464.007536726,5316008.22391584
"300",409,"Oberenzen"," 11v'",378929.538564702,5311296.95932826
"301",410,"Rüstenhart (Rustenhart)"," 11v'",385262.803582507,5310950.53541839
"302",411,"Oberhergheim"," 11v'",380152.651895319,5313709.75214093
"303",412,"Oberhergheim"," 11v'",380152.651895319,5313709.75214093
"304",977,"St Petersholz (Saint Pierre Bois)"," 11r'",378509.788637963,5353966.36912887
"305",978,"Tannweiler (Thanvillé)"," 11r'",377961.442912462,5353604.49023817
"306",980,"Dambach (Dambach-La-Ville)"," 11r'",383495.078272518,5353175.93336198
"307",981,"Diefental (Dieffenthal)"," 11r'",382974.193807774,5351936.80815235
"308",982,"Scherweiler (Scherwiller)"," 11r'",382781.924888551,5349444.46194092
"309",983,"Kestenholz (Châtenois)"," 11r'",381217.175862179,5347752.26984696
"310",984,"Kinzheim (Kintzheim)"," 11r'",380847.983253449,5345822.97088681
"311",985,"Schlettstadt (Sélestat)"," 11r'",385127.961560527,5346112.02786293
"312",986,"Schlettstadt (Sélestat)"," 11r'",385127.961560527,5346112.02786293
"313",987,"Schlettstadt (Sélestat)"," 11r'",385127.961560527,5346112.02786293
"314",988,"Ebersheim"," 11r'",388872.822507103,5351573.88250243
"315",867,"Bernhardsweiler ( Bernardvillé)"," 11q'",381506.236920954,5358335.38412454
"316",919,"Gertweiler (Gertwiller)"," 11q'",386628.460888771,5363127.71329285
"317",920,"Barr"," 11q'",385470.446769907,5362640.61406727
"318",921,"Barr"," 11q'",385470.446769907,5362640.61406727
"319",922,"Barr"," 11q'",385470.446769907,5362640.61406727
"320",923,"Mittelbergheim"," 11q'",384712.638518721,5361490.65492248
"321",924,"Eichhofen (Eichhoffen)"," 11q'",384697.369426211,5360156.63066553
"322",925,"Andlau"," 11q'",382836.22392415,5360452.73893806
"323",926,"Bernhardsweiler ( Bernardvillé)"," 11q'",381506.236920954,5358335.38412454
"324",927,"Reichsfeld"," 11q'",380479.790845048,5358253.49155019
"325",928,"Zellweiler (Zellwiller)"," 11q'",388812.790265051,5361607.81002009
"326",929,"Stotzheim"," 11q'",388070.543985255,5359453.05462186
"327",930,"St. Peter (Saint-Pierre)"," 11q'",386731.201813941,5359857.68925579
"328",931,"Epfig"," 11q'",386329.030234806,5357232.68313251
"329",932,"Epfig"," 11q'",386329.030234806,5357232.68313251
"330",933,"Ittersweiler (Itterswiller)"," 11q'",383875.595425402,5357930.59380467
"331",934,"Nothalten"," 11q'",382909.063636155,5356442.64111922
"332",935,"Blienschweiler (Blienschwiller)"," 11q'",382804.664274281,5355441.81561719
"333",1099,"Gingsheim"," 12m'",396208.996459261,5396896.14230397
"334",1100,"Schaffhausen bei Hochfelden (schaffhouse-sur-Zorn)"," 12m'",394268.255475184,5398705.96135801
"335",1101,"Mutzenhausen (Mutzenouse)"," 12m'",396206.055489265,5399637.12337097
"336",1102,"Waltenheim"," 12m'",399265.782530474,5400352.94597641
"337",1103,"Wingersheim"," 12m'",399512.293056697,5397450.85996703
"338",1104,"Hohatzenheim"," 12m'",398195.809298155,5396785.21943383
"339",1105,"Mittelhausen"," 12m'",399292.821614444,5396044.88957245
"340",1106,"Bilwisheim"," 12m'",401290.887315938,5395970.45290483
"341",1107,"Mittelschäffolsheim"," 12m'",400759.579950031,5395013.58407221
"342",1108,"Rumersheim"," 12m'",399577.498792202,5394147.31378009
"343",1109,"Gimbrett"," 12m'",397554.555641911,5394588.61655162
"344",1110,"Reitweiler"," 12m'",398077.236571345,5392361.93617157
"345",1111,"Berstett"," 12m'",401183.691400449,5392639.97922198
"346",1112,"Dunzenheim"," 12m'",392260.87926558,5396562.52345927
"347",1113,"Sässolsheim"," 12m'",390755.097271696,5396136.85905371
"348",1114,"Gugenheim"," 12m'",394483.787589766,5395304.9019947
"349",1115,"Rohr"," 12m'",393106.035953697,5394690.50004242
"350",1116,"Kienheim"," 12m'",395392.40787312,5393864.6076816
"351",1117,"Willgottheim"," 12m'",390425.030201104,5391932.27377434
"352",1119,"Ingenheim"," 12m'",391244.927751114,5399041.81135329
"353",1128,"Olwisheim"," 12m'",402508.484752196,5394599.31911314
"354",185,"Dauendorf"," 12l'",401296.224252921,5409401.16591601
"355",186,"Morschweiler"," 12l'",399206.565367194,5408324.32489014
"356",187,"Ettendorf"," 12l'",396056.210398828,5407717.09792036
"357",188,"Büsweiler (Buswiller)"," 12l'",394241.218565895,5408475.0452022
"358",189,"Schalkendorf"," 12l'",394297.04077611,5409795.00979247
"359",190,"Kirrweiler"," 12l'",392099.859251757,5407744.27570368
"360",191,"Dringendorf"," 12l'",393837.578808183,5407094.96084312
"361",192,"Hüttendorf"," 12l'",400324.310832689,5406358.39699148
"362",193,"Minversheim"," 12l'",398585.360197543,5404558.31388348
"363",194,"Alteckendorf"," 12l'",396798.592208552,5405366.02069948
"364",195,"Lixhausen"," 12l'",393310.398503878,5405602.72498739
"365",196,"Zöbersdorf"," 12l'",391699.621158092,5405583.650691
"366",197,"Zöbersdorf"," 12l'",391699.621158092,5405583.650691
"367",199,"Wickersheim"," 12l'",392132.795290876,5404387.68632741
"368",200,"Bossendorf"," 12l'",394203.695337233,5404162.43982474
"369",201,"Melsheim"," 12l'",391210.447162346,5401734.5718911
